user_id,user_screen_name,created_at,text,comments,shares,likes
2615417307,凤凰网,03月01日 12:02,【#医院回应强摘7旬老人5个健康器官#】就媒体报道的“术中未发现肿瘤仍切除老人器官”一事，香港大学深圳医院2月29日深夜发布《关于张某华女士医疗事件的情况说明》称，事件发生后，医院对事件进行了全过程复盘和检视，承认诊疗过程存在不足，将持续改进医院管理和诊疗服务流程。法院判决后，医院按照 展开c,421,98,1769
1249424622,但斌,03月01日 12:28,到香港交易所参观，有等值100万的黄金，拎了一下挺沉的。乱世存黄金，但真的要避难的话，恐怕也拿不走太多……,104,113,799
1724170577,香港高Sir高松杰,03月01日 10:57,"我昨天深夜寫的這篇文章已吸引了超過10萬人看，大家多多分享，讓一些反華政客丟臉🤭

香港中通社：【來論】高松傑：反華陣營急了 近99%市民支持基本法第23條立法
O网页链接",8,9,155
6479869715,Kevin在纽约,03月01日 17:05,"「碧桂园遭债权人提起清盘呈请」香港贷款机构永恒信贷向香港高等法院申请关闭碧桂园，以迫使其出售资产，偿还约16亿港元贷款及利息。碧桂园表示，它将“坚决”反对呈请，有关清盘呈请的首次听证会定于5月17日举行。清盘意味着什么，大家都明白。
.",45,29,252
3117030977,摸鱼小涛三,03月01日 17:22,"投票时间
不知不觉攒出了五万经费，下面哪一个推荐！
1️⃣济州岛三天四夜周末游🇰🇷
2️⃣五一东京大阪自由行🇯🇵
3️⃣三月底香港KCON🇭🇰",253,2,496
1654134123,早报网,03月01日 16:31,"【美总领事指香港互联网审查日益收紧 趋向中国大陆化】梅儒瑞星期四（2月29日）接受彭博社上任以来的首次专访时说，香港的网络连接问题和数据安全问题已促使一些美国公司高管在访问香港时，使用一次性手机和笔记本电脑。

他称，香港开始走上试图删除互联网某些内容或屏蔽某些网站的下坡路，一旦开始互 展开c",56,110,262
3763834415,chanchanbabyHK,03月01日 13:31,"某些小黄人的脑子有病，天天幻想别人偷他资料。八达通公司为了方便香港人去内地旅游时乘车方便，开通了全国通，可以乘搭全国交通工具，小黄人又开始编故事了，说这样个人资料又被卖了
还记得黑暴时被曱甴锯掉的智慧灯柱吗？他们说灯柱会偷他们的个人资料",25,6,143
5230132970,盖世英雄玉椒龙,03月01日 13:41,"香港地区一年一度的皮草展外，聚集了几位动保组织Peta的成员，他们把自己关在笼子里，然后抗议皮草。并且表示“为了你们的皮草，小动物就是这样的遭遇”。

大家怎么看

来自X",53,5,134
5874240306,搂着房照睡的香,03月01日 12:05,"香港的房价已经回到2016，深圳中介一片沉寂。
对“永远涨”来说，沉默已是一个时代的进步。点赞吧！👍
#楼市杂谈#",78,44,694
7182737383,葛珮帆Elizabeth_Quat,03月01日 13:27,"【民建聯堅決反對英外相抹黑23條立法】

我們堅決反對英國外相卡梅倫發表的聲明，無理攻擊香港特區政府就《基本法》第23條立法的工作，並認為卡梅倫一方面抹黑香港履行憲制責任，制訂維護國家安全法例，另一方面卻無視英國本身通過極嚴苛的國家安全法，是徹頭徹尾的雙重標準。

這次是卡梅倫自上月公然 展开c",9,1,96
